"filename", "language", "JavaScript", "Django txt", "JSON", "HTML", "CSS", "XML", "comment", "blank", "total"
"c:\Users\Konra\Desktop\Cody\src\banned.json", "JSON", 0, 0, 10, 0, 0, 0, 0, 0, 10
"c:\Users\Konra\Desktop\Cody\src\commands\ℹ️ Information\botinfo.js", "JavaScript", 35, 0, 0, 0, 0, 0, 6, 10, 51
"c:\Users\Konra\Desktop\Cody\src\commands\ℹ️ Information\help.js", "JavaScript", 30, 0, 0, 0, 0, 0, 5, 6, 41
"c:\Users\Konra\Desktop\Cody\src\commands\ℹ️ Information\info.js", "JavaScript", 16, 0, 0, 0, 0, 0, 5, 4, 25
"c:\Users\Konra\Desktop\Cody\src\commands\ℹ️ Information\leaderboard.js", "JavaScript", 53, 0, 0, 0, 0, 0, 5, 8, 66
"c:\Users\Konra\Desktop\Cody\src\commands\ℹ️ Information\ping.js", "JavaScript", 16, 0, 0, 0, 0, 0, 4, 5, 25
"c:\Users\Konra\Desktop\Cody\src\commands\ℹ️ Information\userinfo.js", "JavaScript", 62, 0, 0, 0, 0, 0, 5, 10, 77
"c:\Users\Konra\Desktop\Cody\src\commands\🌐 Learn how to Code\courses.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 5, 30
"c:\Users\Konra\Desktop\Cody\src\commands\🌐 Learn how to Code\enroll.js", "JavaScript", 161, 0, 0, 0, 0, 0, 15, 26, 202
"c:\Users\Konra\Desktop\Cody\src\commands\🌐 Learn how to Code\resume.js", "JavaScript", 563, 0, 0, 0, 0, 0, 141, 67, 771
"c:\Users\Konra\Desktop\Cody\src\commands\👑 Owner\eval.js", "JavaScript", 51, 0, 0, 0, 0, 0, 0, 8, 59
"c:\Users\Konra\Desktop\Cody\src\commands\👑 Owner\gencode.js", "JavaScript", 51, 0, 0, 0, 0, 0, 0, 14, 65
"c:\Users\Konra\Desktop\Cody\src\commands\👑 Owner\leave.js", "JavaScript", 27, 0, 0, 0, 0, 0, 5, 5, 37
"c:\Users\Konra\Desktop\Cody\src\commands\👑 Owner\perms.js", "JavaScript", 57, 0, 0, 0, 0, 0, 0, 14, 71
"c:\Users\Konra\Desktop\Cody\src\commands\👑 Owner\servers.js", "JavaScript", 33, 0, 0, 0, 0, 0, 5, 5, 43
"c:\Users\Konra\Desktop\Cody\src\commands\💰 Premium\premium.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\Konra\Desktop\Cody\src\commands\💰 Premium\redeem.js", "JavaScript", 62, 0, 0, 0, 0, 0, 0, 12, 74
"c:\Users\Konra\Desktop\Cody\src\commands\💰 Premium\restart.js", "JavaScript", 150, 0, 0, 0, 0, 0, 20, 25, 195
"c:\Users\Konra\Desktop\Cody\src\commands\💰 Premium\subscription.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 3, 30
"c:\Users\Konra\Desktop\Cody\src\commands\📚 Utility\avatar.js", "JavaScript", 15, 0, 0, 0, 0, 0, 7, 4, 26
"c:\Users\Konra\Desktop\Cody\src\commands\📚 Utility\guide.js", "JavaScript", 38, 0, 0, 0, 0, 0, 7, 5, 50
"c:\Users\Konra\Desktop\Cody\src\commands\📚 Utility\invite.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 3, 22
