Date : 2021-08-20 12:26:30
Directory : c:\Users\Konra\Desktop\Cody\src
Total : 62 files,  7563 codes, 294 comments, 737 blanks, all 8594 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |         35 |      2,530 |        293 |        385 |      3,208 |
| HTML       |         14 |      2,395 |          0 |         86 |      2,481 |
| CSS        |          3 |      2,059 |          0 |        160 |      2,219 |
| JSON       |          4 |        410 |          0 |         39 |        449 |
| Django txt |          3 |         93 |          0 |         66 |        159 |
| XML        |          3 |         76 |          1 |          1 |         78 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                   |         62 |      7,563 |        294 |        737 |      8,594 |
| commands                                                                                            |         22 |      1,525 |        230 |        245 |      2,000 |
| commands\ℹ️ Information                                                                             |          6 |        212 |         30 |         43 |        285 |
| commands\🌐 Learn how to Code                                                                       |          3 |        749 |        156 |         98 |      1,003 |
| commands\👑 Owner                                                                                   |          5 |        219 |         10 |         46 |        275 |
| commands\💰 Premium                                                                                 |          4 |        256 |         20 |         43 |        319 |
| commands\📚 Utility                                                                                 |          4 |         89 |         14 |         15 |        118 |
| dashboard                                                                                           |         24 |      5,262 |         23 |        351 |      5,636 |
| dashboard\static                                                                                    |          8 |      2,191 |          1 |        168 |      2,360 |
| dashboard\static\css                                                                                |          3 |      2,059 |          0 |        160 |      2,219 |
| dashboard\static\css\404                                                                            |          1 |         51 |          0 |          7 |         58 |
| dashboard\static\css\dashboard                                                                      |          1 |      1,012 |          0 |         90 |      1,102 |
| dashboard\static\images                                                                             |          3 |         76 |          1 |          1 |         78 |
| dashboard\static\images\dashboard                                                                   |          3 |         76 |          1 |          1 |         78 |
| dashboard\static\js                                                                                 |          2 |         56 |          0 |          7 |         63 |
| dashboard\templates                                                                                 |         14 |      2,395 |          0 |         86 |      2,481 |
| dashboard\templates\dashboard                                                                       |          6 |      1,575 |          0 |         55 |      1,630 |
| dashboard\templates\dashboard\dashboard                                                             |          5 |      1,405 |          0 |         51 |      1,456 |
| dashboard\templates\dashboard\dashboard\leaderboard                                                 |          1 |        162 |          0 |          8 |        170 |
| dashboard\templates\dashboard\dashboard\me                                                          |          1 |        495 |          0 |         14 |        509 |
| dashboard\templates\dashboard\dashboard\settings                                                    |          1 |        279 |          0 |         16 |        295 |
| dashboard\templates\dashboard\dashboard\toggles                                                     |          1 |        264 |          0 |          5 |        269 |
| dashboard\templates\other                                                                           |          7 |        643 |          0 |         25 |        668 |
| dashboard\templates\other\404                                                                       |          1 |         23 |          0 |          2 |         25 |
| dashboard\templates\other\500                                                                       |          1 |         26 |          0 |          2 |         28 |
| dashboard\templates\other\contact                                                                   |          1 |        155 |          0 |          6 |        161 |
| dashboard\templates\other\error                                                                     |          1 |         24 |          0 |          2 |         26 |
| dashboard\templates\other\login                                                                     |          1 |        130 |          0 |          4 |        134 |
| dashboard\templates\other\policy                                                                    |          1 |        138 |          0 |          3 |        141 |
| dashboard\templates\other\status                                                                    |          1 |        147 |          0 |          6 |        153 |
| database                                                                                            |          4 |        119 |          0 |         19 |        138 |
| database\schemas                                                                                    |          3 |         94 |          0 |         12 |        106 |
| events                                                                                              |          3 |         82 |         41 |         16 |        139 |
| handlers                                                                                            |          2 |         62 |          0 |          7 |         69 |
| questions                                                                                           |          5 |        482 |          0 |         97 |        579 |
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                            | language   | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\Konra\Desktop\Cody\src\banned.json                                                         | JSON       |         10 |          0 |          0 |         10 |
| c:\Users\Konra\Desktop\Cody\src\commands\ℹ️ Information\botinfo.js                                  | JavaScript |         35 |          6 |         10 |         51 |
| c:\Users\Konra\Desktop\Cody\src\commands\ℹ️ Information\help.js                                     | JavaScript |         30 |          5 |          6 |         41 |
